video_id,title,published_at,views,likes,comments
6EP6Iv4qffs,I went from $100K/year to $200K/year because of this book.,2025-03-21T14:30:04Z,215768,8774,266
xBqVBTC2Ids,how I run my $100K+ business without hustling,2025-03-07T15:01:28Z,14137,805,118
1D7RsOVC-lE,Business is a video game. Here's how to win.,2025-02-21T18:12:37Z,220868,15151,636
aNKq4X5MZrU,watch me make & sell a digital product in 110 hours.,2025-02-08T22:49:48Z,34924,1726,123
D9_mxGvxAA8,I studied the top 1% freelance websites & made this template for you.,2025-01-24T15:30:05Z,21247,1851,213
o7blrkYeNo4,I didn’t quit Youtube because of this book. (now I have 100K subscribers),2025-01-10T16:12:42Z,423868,23115,1126
sQGX-cUa-EI,"These 11 income streams made me $220,000 in 2024.",2024-12-27T16:36:45Z,387594,11234,383
ekpA_Ya1DCg,the 1-page business plan that made me $200K+ in 2024,2024-12-13T15:00:47Z,267697,11698,409
mjnXWREhExw,how to make a business vision board *that works* for 2025,2024-11-29T16:50:25Z,46796,2714,131
rrLUATOK8qw,"You're not unproductive, you've just set an impossible standard.",2024-11-16T15:30:25Z,35645,2520,143
T4wuXjbDkZ4,day in the life of a $100K+ cozy entrepreneur,2024-10-26T15:00:32Z,15749,561,82
sKtOxkkZAN8,Best & Worst Online Businesses to Start in 2025 (for Beginners),2024-09-20T14:00:06Z,431289,15469,433
-U-AUIBjhiU,long game is what all the coolest business owners are focusing on #businessowner #selfemployed,2024-09-02T07:58:37Z,13856,1760,30
aKrwlZqa80U,this is everything you're doing wrong with your cold pitches.,2024-08-30T14:32:21Z,23587,1359,116
Gacu-aAdU60,one of my favorite books! #businessbookclub #selfemployed,2024-08-28T13:44:45Z,4214,536,17
cEkQXu17__U,this really changed how i approach content creation #businessbookclub #alexhormozi #businessowner,2024-08-27T09:28:57Z,6333,877,23
yJjZXpGZ_i0,how i reduce risk for myself as a freelancer ✌🏻,2024-08-20T10:49:29Z,13506,1836,23
BFavnHaZonw,One of my faves from Four Thousand Weeks by Oliver Burkeman #businessowner #businessbookclub,2024-08-19T14:42:19Z,3514,372,7
nQ-WWlfeMmA,I read $100M Leads for you.,2024-07-12T17:01:24Z,190287,7182,188
qcZmTwiP5n0,i love and hate this exercise 😌 #smallbusiness #entrepreneurship #maincharacter,2024-07-12T11:15:56Z,6035,985,23
eZ2m9sxQzx4,i started with 0 career capital and leverage whatsoever,2024-07-10T14:52:39Z,7067,909,10
Avx0MWSQH7Y,it’s time to enter our ✨doing✨ era,2024-07-08T09:11:21Z,6794,975,26
ODR1kD4ro8M,this book is the only productivity book that’s given me a huge sense of relief,2024-07-03T14:56:41Z,2896,316,4
QxgO5ateTbs,week in the life of a $100K+ cozy entrepreneur,2024-06-21T15:32:08Z,25705,1260,123
szUocNhZeBU,Me: 😀😀😀😀😀😀,2024-06-14T17:34:40Z,4705,441,16
goJKCc-eZlI,i could talk systems & replacing yourself in your business ALL DAY.,2024-06-13T11:38:29Z,3385,448,12
9lZy5s9LtR4,some lessons from 7+ years of freelancing!,2024-06-10T14:03:22Z,4614,636,16
F0gUyTIQad4,watch me make & sell a digital product in 10 hours.,2024-05-31T15:24:18Z,337316,11569,380
FVp3cX2qtxU,"i’m a big fan of planning, can you tell? it’s the only way I can get anything done honestly",2024-05-20T09:27:43Z,3311,515,19
1r9Gd102ews,thoughts? #smallbusiness #startabusiness #solopreneur,2024-05-19T15:16:28Z,2794,360,10
-SWrWCmtH-w,"so grateful that at 21 I explored my options bc it literally changed my life, no exaggeration",2024-05-17T09:42:48Z,4929,520,13
0xOcn7iKjn8,your brain: 🫡🫡🫡,2024-05-14T12:32:05Z,3680,517,16
vtj4f4SZk3A,how I plan my entire week in 10 mins (as a small business owner + free template!),2024-05-10T14:00:07Z,43565,1878,155
EDJiZ1hwzHc,idk getting rejected 100 times in one week sounds willld to me 😭 #milliondollarweekend,2024-05-06T16:30:11Z,3590,414,14
rSHREFWb41M,I read Million Dollar Weekend for you.,2024-04-26T15:05:46Z,406334,17805,901
XkiooPuQ1mM,one of my favorite rules in my business & highly recommend to all my fellow small business owners 🩷,2024-04-24T15:36:46Z,7255,799,24
2mz8LoHS1ww,what are you currently in “the dip” for? bc you’re doing it! you’re outlasting everyone else rn!!,2024-04-22T16:15:03Z,2494,346,6
rPmXa_0qSA4,day in the life of a $100K+ cozy entrepreneur,2024-04-14T15:21:02Z,286310,8856,612
