,Meta Quest 3,Apple AirPods Pro 2 (USB-C),Galaxy Projector,Smart Home Assistant,Portable Phone Charger,Cleverfy Shower Steamers,Edifier W820NB Plus Headphones,Smart Water Bottle,Fitness Resistance Bands Set,Yoga Mat with Alignment Lines,Magna-Tiles,Nixplay Smart Digital Photo Frame,Galaxy Projector,Family-Friendly Board Game,Ninja Creami Ice Cream Maker,Ninja Creami Ice Cream Maker,Rabbit Electric Wine Opener Set,Luxury Spice Set,Personalized Cutting Board,Cooking Class Subscription,Magna-Tiles,DIY Craft Kits,Galaxy Projector,3D Puzzle Models,Nixplay Smart Digital Photo Frame,Sony WH-1000XM5 Wireless Headphones,Apple AirPods Pro 2 (USB-C),Luxury Bathrobe,High-End Scented Candles,Weighted Blanket,Pet Camera,Personalized Pet Portrait,Smart Pet Feeder,Pet DNA Test Kit,Plush Heated Pet Bed,Portable Photo Printer,Tile Mate Tracker,Wireless Charging Dock,Digital Notepad,Mini Projector,Foam Roller Set,Meditation Cushion,Essential Oil Diffuser,Weighted Hula Hoop,Sleep Mask with Bluetooth Speakers,Glow-in-the-Dark Blanket,STEM Building Kit,Indoor Bowling Set,Scratch-Off World Map,Interactive Storybook,Herb Garden Starter Kit,Reusable Beeswax Wraps,French Press Coffee Maker,Mini Pancake Maker,Cheese Board and Knife Set,DIY Embroidery Kit,Origami Paper and Guidebook,Leather Crafting Kit,Paint-by-Numbers Kit,Calligraphy Set,Velvet Throw Pillow Set,Electric Heated Slippers,Aromatherapy Sleep Spray,Cashmere Socks,Gourmet Chocolate Gift Box,Pet Grooming Kit,Interactive Pet Toy,Pet Travel Carrier,Customized Pet Collar,Pet Treat Puzzle Toy,Little Tikes Story Dream Machine,Instax Mini Evo Camera,Slime-Making Kit,Lite Brite Toy,Magnatiles,Walkie-Talkies,Melissa & Doug Flip Fish,VTech Bopping and Cruising Baby Driver,Crawligator Tummy Time Toy,Infantino Pop-Up Ball Pit,Squishmallows Plushies,Play-Doh Rainbow Eight-Pack,Wood City Car Ramp Racer Set,Fat Brain Toys Bilibo by Moluk,3Doodler Start Plus 3D Printing Pen,Pottery Barn Wooden Busy Cube,Fujifilm Instax Mini 12 Instant Camera,Pottery Barn Coffee And Bakery Wooden Shop,Dash Mini Waffle Maker,Google Fitbit Ace LTE Kids Smartwatch
User_1,4,5,3,5,5,2,3,3,3,5,4,3,5,2,4,2,4,5,1,4,2,5,4,1,1,3,3,2,4,4,3,4,4,1,3,5,3,5,1,2,4,1,4,2,2,1,2,5,2,4,4,4,4,5,3,1,4,2,4,2,2,4,5,2,2,4,2,2,4,4,1,5,5,2,5,2,1,4,4,4,5,1,5,5,1,1,1,1,4,3
User_2,3,1,3,3,1,3,5,2,2,1,4,1,4,2,1,5,3,4,3,3,1,3,5,3,1,5,2,3,1,2,2,4,5,3,1,4,5,4,5,5,3,5,4,5,3,3,4,2,2,5,1,5,4,4,4,4,4,3,2,4,1,1,1,1,3,1,4,5,1,3,3,1,5,1,3,2,4,3,1,4,1,1,2,4,4,2,3,1,5,1
User_3,1,3,1,2,2,4,5,1,1,3,2,5,4,2,4,3,3,1,5,4,2,3,1,1,4,3,5,3,4,4,3,4,3,2,3,3,4,4,1,1,2,1,3,4,1,1,2,2,3,4,2,1,4,4,1,2,1,4,5,5,3,1,1,3,3,3,4,1,4,3,1,4,4,3,1,3,1,5,2,2,2,3,5,1,4,1,4,1,5,4
User_4,3,1,1,4,3,3,5,3,3,3,2,5,1,4,1,5,4,5,3,4,3,1,1,4,4,5,5,3,4,1,5,5,1,5,3,4,1,4,5,5,1,3,2,1,2,2,3,2,2,3,2,2,2,1,1,1,3,5,2,2,3,2,1,5,4,2,1,4,5,4,1,4,3,4,2,2,3,1,2,5,2,2,1,4,2,3,4,5,1,5
User_5,4,4,4,5,4,5,4,3,4,5,2,4,2,3,1,3,4,2,2,5,2,5,1,4,5,1,2,2,1,2,1,5,5,1,5,5,5,3,4,2,3,5,1,5,4,5,1,4,5,4,2,2,5,4,1,5,2,2,5,4,2,4,2,2,3,2,1,5,5,4,2,1,4,3,4,4,2,3,4,1,1,5,3,3,5,4,3,1,1,2
User_6,3,4,5,5,4,2,5,3,2,3,1,2,5,2,2,2,2,3,1,4,2,5,2,5,3,5,4,1,5,5,1,4,2,5,1,3,1,3,4,2,1,5,4,1,5,1,3,1,1,1,4,1,5,3,3,1,4,4,5,1,3,4,1,4,4,3,2,5,5,3,4,1,4,3,5,4,5,1,5,5,2,2,2,5,3,5,3,3,2,4
User_7,1,2,2,4,1,5,5,2,1,2,3,2,2,5,5,5,3,5,1,4,1,1,5,4,4,4,3,5,4,3,2,2,3,3,5,5,2,4,2,4,4,5,1,1,3,5,4,1,4,1,1,1,5,2,4,5,5,5,5,5,3,4,5,4,3,3,4,1,2,1,1,1,5,3,1,3,4,2,4,4,5,2,4,4,2,2,4,2,4,4
User_8,5,1,4,3,1,1,1,5,4,5,4,5,5,3,5,2,3,5,1,2,2,2,3,5,5,1,1,2,1,3,5,2,1,3,3,1,5,1,2,1,3,1,5,4,1,5,5,3,5,5,5,5,2,2,3,1,5,1,1,3,5,5,4,1,1,2,4,2,2,2,3,3,2,4,1,4,5,3,1,1,5,5,2,3,3,4,2,2,2,2
User_9,3,3,2,4,1,1,4,2,3,1,5,5,4,2,1,2,1,4,4,5,2,5,2,5,3,3,3,3,1,3,4,4,1,3,3,3,5,2,5,2,3,3,5,5,2,4,2,5,5,1,5,1,4,2,2,1,2,5,3,1,2,1,1,3,5,1,2,4,1,1,3,5,4,2,4,2,5,2,3,3,3,3,4,5,2,2,3,3,1,5
User_10,4,2,1,1,2,4,1,1,5,4,1,4,2,3,1,5,2,4,2,1,4,3,2,1,5,4,2,2,3,3,5,5,1,1,5,5,4,3,1,3,3,5,4,2,4,4,3,4,1,3,1,2,3,2,3,5,4,5,2,4,3,4,1,4,1,4,1,2,5,3,4,5,3,3,1,2,2,5,2,4,2,5,2,4,1,5,1,1,1,3
User_11,3,1,5,4,4,2,5,3,1,2,4,3,3,1,4,5,3,1,5,4,3,5,5,5,3,3,2,4,1,5,2,1,2,3,5,1,1,1,1,1,2,5,3,3,3,3,2,4,5,1,4,3,4,5,1,1,5,5,3,1,4,2,2,5,3,2,1,5,4,5,4,5,5,5,4,4,5,2,3,3,3,4,4,2,3,3,5,4,3,2
User_12,2,3,4,2,5,2,1,1,4,3,4,4,4,4,5,5,2,1,4,2,1,3,5,1,3,1,5,5,2,4,1,1,3,5,1,5,1,2,4,1,5,2,1,3,4,1,2,3,2,2,3,2,3,1,3,3,4,3,3,1,4,5,1,1,5,3,2,4,2,5,1,1,4,1,1,4,4,5,1,1,5,3,3,3,5,1,5,5,3,2
User_13,1,3,2,2,4,1,2,3,4,1,5,3,2,2,3,2,4,1,4,2,5,1,1,3,3,5,1,5,3,3,1,4,2,3,3,4,4,5,5,2,2,1,5,3,5,3,4,5,4,2,2,1,5,4,3,2,2,3,4,4,5,5,1,2,5,4,3,4,2,4,1,2,3,1,2,3,1,1,2,5,1,1,3,4,2,2,5,5,2,5
User_14,3,2,5,2,4,1,2,1,5,1,2,4,5,2,5,3,1,3,2,4,5,1,5,2,5,1,2,5,4,2,2,4,3,1,3,5,4,3,2,5,5,3,3,4,1,3,3,2,5,1,2,4,4,3,3,4,3,1,3,5,3,2,1,2,2,5,1,1,1,1,1,5,3,2,1,3,3,2,5,4,4,3,2,4,3,5,4,3,3,1
User_15,5,1,2,1,1,4,3,5,1,5,1,2,1,4,3,2,1,5,2,2,1,2,5,2,5,1,3,2,3,5,2,4,3,2,3,2,1,3,4,4,5,2,3,5,3,2,4,1,4,5,1,5,2,1,5,2,4,2,3,2,2,3,5,5,2,3,3,4,5,1,5,5,4,1,4,1,2,1,4,5,1,1,3,5,2,4,2,5,1,1
User_16,5,1,1,1,4,4,3,2,5,5,5,3,4,3,5,2,1,4,4,3,4,5,5,3,5,2,3,2,1,2,1,1,2,3,5,5,1,1,3,4,2,1,5,3,2,3,2,2,1,3,3,5,5,1,1,4,5,2,3,1,3,3,4,5,1,3,1,2,4,2,1,1,5,3,3,2,4,3,5,2,2,5,4,5,4,5,5,1,2,5
User_17,5,3,2,3,2,3,5,5,1,3,4,1,3,3,1,5,3,5,1,5,2,4,3,4,5,3,5,2,1,3,2,2,3,5,2,4,2,5,5,4,2,5,3,1,1,1,2,4,5,3,3,2,1,2,4,4,5,5,4,4,4,2,4,3,1,4,1,2,1,2,3,2,2,5,4,4,3,3,4,5,4,5,3,1,3,3,2,2,2,2
User_18,5,4,1,3,5,1,5,5,3,4,2,4,3,3,3,1,4,4,5,5,5,3,4,3,1,5,3,3,1,2,4,2,5,3,1,1,4,2,4,3,4,1,1,5,5,3,2,4,3,5,4,5,4,2,3,4,1,1,4,4,4,1,1,4,5,5,2,3,5,1,5,2,2,3,5,1,1,4,1,3,3,1,1,4,1,4,4,1,2,2
User_19,4,1,2,1,1,1,5,1,5,4,2,2,2,2,2,2,2,4,1,3,5,3,3,1,1,1,2,4,2,4,4,3,3,4,4,2,2,3,1,4,2,3,2,4,4,5,1,5,3,2,3,4,5,5,5,3,4,2,2,3,5,1,3,3,4,2,3,3,5,5,1,4,1,5,2,5,4,5,4,4,4,4,4,2,1,3,1,4,2,5
