User,Meta Quest 3,Apple AirPods Pro 2 (USB-C),Galaxy Projector,Smart Home Assistant,Portable Phone Charger,Cleverfy Shower Steamers,Edifier W820NB Plus Headphones,Smart Water Bottle,Fitness Resistance Bands Set,Yoga Mat with Alignment Lines,Magna-Tiles,Nixplay Smart Digital Photo Frame,Galaxy Projector.1,Family-Friendly Board Game,Ninja Creami Ice Cream Maker,Ninja Creami Ice Cream Maker.1,Rabbit Electric Wine Opener Set,Luxury Spice Set,Personalized Cutting Board,Cooking Class Subscription,Magna-Tiles.1,DIY Craft Kits,Galaxy Projector.2,3D Puzzle Models,Nixplay Smart Digital Photo Frame.1,Sony WH-1000XM5 Wireless Headphones,Apple AirPods Pro 2 (USB-C).1,Luxury Bathrobe,High-End Scented Candles,Weighted Blanket,Pet Camera,Personalized Pet Portrait,Smart Pet Feeder,Pet DNA Test Kit,Plush Heated Pet Bed,Portable Photo Printer,Tile Mate Tracker,Wireless Charging Dock,Digital Notepad,Mini Projector,Foam Roller Set,Meditation Cushion,Essential Oil Diffuser,Weighted Hula Hoop,Sleep Mask with Bluetooth Speakers,Glow-in-the-Dark Blanket,STEM Building Kit,Indoor Bowling Set,Scratch-Off World Map,Interactive Storybook,Herb Garden Starter Kit,Reusable Beeswax Wraps,French Press Coffee Maker,Mini Pancake Maker,Cheese Board and Knife Set,DIY Embroidery Kit,Origami Paper and Guidebook,Leather Crafting Kit,Paint-by-Numbers Kit,Calligraphy Set,Velvet Throw Pillow Set,Electric Heated Slippers,Aromatherapy Sleep Spray,Cashmere Socks,Gourmet Chocolate Gift Box,Pet Grooming Kit,Interactive Pet Toy,Pet Travel Carrier,Customized Pet Collar,Pet Treat Puzzle Toy,Little Tikes Story Dream Machine,Instax Mini Evo Camera,Slime-Making Kit,Lite Brite Toy,Magnatiles,Walkie-Talkies,Melissa & Doug Flip Fish,VTech Bopping and Cruising Baby Driver,Crawligator Tummy Time Toy,Infantino Pop-Up Ball Pit,Squishmallows Plushies,Play-Doh Rainbow Eight-Pack,Wood City Car Ramp Racer Set,Fat Brain Toys Bilibo by Moluk,3Doodler Start Plus 3D Printing Pen,Pottery Barn Wooden Busy Cube,Fujifilm Instax Mini 12 Instant Camera,Pottery Barn Coffee And Bakery Wooden Shop,Dash Mini Waffle Maker,Google Fitbit Ace LTE Kids Smartwatch
User_1,4.0,5.0,,,5.0,,3.0,3.0,,5.0,,3.0,,,,2.0,4.0,,1.0,4.0,2.0,5.0,4.0,,,3.0,,2.0,4.0,4.0,3.0,4.0,,,3.0,5.0,3.0,5.0,1.0,2.0,4.0,1.0,4.0,2.0,2.0,1.0,2.0,5.0,2.0,4.0,4.0,,,,3.0,,4.0,2.0,4.0,2.0,,4.0,5.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,,5.0,5.0,,5.0,2.0,1.0,4.0,4.0,,5.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,4.0,3.0
User_2,3.0,1.0,3.0,,1.0,,5.0,2.0,2.0,,4.0,1.0,4.0,2.0,1.0,5.0,3.0,4.0,3.0,,1.0,3.0,5.0,3.0,1.0,5.0,2.0,3.0,1.0,2.0,,4.0,,3.0,1.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,,5.0,,3.0,4.0,2.0,2.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,,,1.0,1.0,1.0,3.0,1.0,,,1.0,3.0,3.0,1.0,5.0,1.0,3.0,,,3.0,1.0,4.0,,1.0,2.0,4.0,4.0,2.0,3.0,1.0,5.0,
User_3,,,1.0,2.0,,,,1.0,,3.0,2.0,5.0,4.0,2.0,4.0,3.0,,1.0,5.0,4.0,2.0,3.0,1.0,1.0,4.0,,5.0,3.0,4.0,4.0,3.0,,3.0,2.0,,3.0,4.0,4.0,1.0,1.0,,1.0,3.0,4.0,,1.0,2.0,2.0,,,2.0,1.0,4.0,4.0,1.0,2.0,1.0,4.0,5.0,5.0,,1.0,1.0,3.0,3.0,3.0,4.0,1.0,4.0,3.0,1.0,4.0,4.0,3.0,1.0,3.0,,5.0,2.0,2.0,2.0,3.0,5.0,,4.0,1.0,4.0,1.0,5.0,4.0
User_4,,1.0,1.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,,1.0,4.0,1.0,5.0,4.0,5.0,3.0,4.0,3.0,,,4.0,,5.0,5.0,3.0,,1.0,5.0,5.0,,5.0,3.0,4.0,1.0,4.0,5.0,5.0,1.0,3.0,2.0,1.0,2.0,,,2.0,,3.0,2.0,,,1.0,1.0,,3.0,5.0,2.0,,,2.0,1.0,5.0,,2.0,1.0,4.0,,,1.0,4.0,3.0,4.0,2.0,,3.0,1.0,,5.0,2.0,2.0,1.0,4.0,,3.0,4.0,,1.0,5.0
User_5,4.0,4.0,4.0,5.0,4.0,5.0,,3.0,4.0,5.0,2.0,4.0,2.0,3.0,1.0,3.0,4.0,2.0,2.0,5.0,2.0,5.0,1.0,4.0,5.0,1.0,2.0,2.0,,2.0,1.0,5.0,5.0,,5.0,5.0,5.0,3.0,4.0,2.0,3.0,,,5.0,4.0,5.0,1.0,4.0,,,,2.0,5.0,4.0,1.0,5.0,2.0,,5.0,4.0,2.0,4.0,2.0,2.0,3.0,2.0,1.0,5.0,5.0,4.0,2.0,1.0,,3.0,4.0,4.0,2.0,3.0,,1.0,1.0,5.0,3.0,3.0,5.0,4.0,3.0,1.0,1.0,2.0
User_6,3.0,4.0,5.0,5.0,4.0,2.0,5.0,,2.0,3.0,1.0,,5.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,,,2.0,,3.0,5.0,4.0,,5.0,5.0,1.0,4.0,2.0,,1.0,3.0,,3.0,,2.0,1.0,5.0,4.0,1.0,,,3.0,1.0,1.0,1.0,4.0,1.0,,3.0,3.0,1.0,4.0,4.0,5.0,1.0,3.0,,1.0,4.0,4.0,3.0,2.0,,5.0,3.0,4.0,1.0,4.0,3.0,5.0,4.0,5.0,,5.0,,2.0,2.0,2.0,5.0,,5.0,3.0,3.0,,4.0
User_7,1.0,2.0,2.0,4.0,,5.0,5.0,2.0,1.0,2.0,3.0,,2.0,5.0,5.0,,3.0,5.0,1.0,,1.0,1.0,5.0,,,4.0,3.0,,4.0,,2.0,2.0,3.0,,5.0,5.0,,4.0,2.0,,4.0,5.0,1.0,1.0,3.0,5.0,4.0,1.0,4.0,1.0,,1.0,5.0,2.0,,5.0,5.0,5.0,,5.0,3.0,4.0,5.0,4.0,3.0,,,1.0,2.0,1.0,1.0,1.0,5.0,3.0,1.0,3.0,,2.0,4.0,4.0,5.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0
User_8,5.0,1.0,4.0,3.0,,1.0,1.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,2.0,3.0,5.0,1.0,2.0,2.0,2.0,,5.0,5.0,,1.0,2.0,1.0,3.0,5.0,2.0,1.0,3.0,3.0,1.0,5.0,1.0,2.0,1.0,,1.0,5.0,,1.0,5.0,,3.0,5.0,5.0,,5.0,2.0,2.0,3.0,1.0,5.0,1.0,,3.0,5.0,5.0,,1.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,,4.0,5.0,3.0,1.0,1.0,5.0,5.0,2.0,,3.0,,2.0,2.0,2.0,2.0
User_9,,3.0,,4.0,1.0,1.0,4.0,2.0,,1.0,,,4.0,2.0,1.0,2.0,1.0,4.0,4.0,5.0,,5.0,2.0,5.0,,,,,1.0,3.0,4.0,,1.0,,3.0,3.0,5.0,2.0,5.0,2.0,3.0,3.0,5.0,5.0,2.0,4.0,2.0,5.0,,1.0,5.0,,4.0,2.0,2.0,1.0,2.0,5.0,3.0,1.0,2.0,1.0,1.0,3.0,5.0,1.0,2.0,4.0,1.0,1.0,3.0,5.0,4.0,,4.0,2.0,5.0,2.0,3.0,3.0,,3.0,4.0,5.0,2.0,2.0,3.0,,1.0,
User_10,4.0,,1.0,1.0,2.0,4.0,1.0,1.0,,4.0,1.0,4.0,2.0,,,,,4.0,,1.0,4.0,3.0,2.0,1.0,5.0,4.0,2.0,,3.0,,5.0,5.0,1.0,,5.0,5.0,,3.0,1.0,3.0,,,4.0,,,4.0,3.0,,1.0,3.0,1.0,2.0,3.0,,3.0,5.0,4.0,5.0,2.0,4.0,3.0,4.0,1.0,4.0,1.0,4.0,1.0,2.0,,3.0,4.0,5.0,3.0,3.0,,2.0,2.0,5.0,2.0,4.0,2.0,5.0,2.0,4.0,1.0,5.0,,,1.0,3.0
